message_id,image_path,detected_object_class,confidence_score
18137,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18137.jpg,bottle,0.8742706775665283
18139,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18139.jpg,bottle,0.8197527527809143
18142,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18142.jpg,clock,0.4078066349029541
18142,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18142.jpg,carrot,0.33904045820236206
18142,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18142.jpg,bowl,0.2545960247516632
18145,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18145.jpg,bottle,0.6888154149055481
18146,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18146.jpg,scissors,0.5893474817276001
18146,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18146.jpg,clock,0.2823435366153717
18147,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18147.jpg,bottle,0.7860787510871887
18147,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18147.jpg,vase,0.4042917490005493
18151,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18151.jpg,bottle,0.8651437163352966
18152,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18152.jpg,bottle,0.5791776776313782
18153,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18153.jpg,bottle,0.2876709997653961
18155,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18155.jpg,cup,0.5256255269050598
18157,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18157.jpg,person,0.37591513991355896
18158,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18158.jpg,clock,0.3116428554058075
18164,data/raw/telegram_images\2025-06-18\lobelia4cosmetics\18164.jpg,refrigerator,0.5177779793739319
50624,data/raw/telegram_images\2025-06-18\PharmacyHubEthiopia\50624.jpg,cell phone,0.39026394486427307
50624,data/raw/telegram_images\2025-06-18\PharmacyHubEthiopia\50624.jpg,book,0.28900933265686035
50625,data/raw/telegram_images\2025-06-18\PharmacyHubEthiopia\50625.jpg,bottle,0.28947755694389343
50626,data/raw/telegram_images\2025-06-18\PharmacyHubEthiopia\50626.jpg,laptop,0.78020840883255
